GID_2,fips,RUCC_2013,rucc_grouped,pop_size,perc_african_american,perc_latino_hispanic,perc_unemployed,perc_graduated,perc_urban_pop,entropy_coloc,entropy_sci,extroversion_coloc,extroversion_sci,proximity_rep_coloc,proximity_dem_coloc,proximity_rep_sci,proximity_dem_sci,proximity_rep_comm,proximity_dem_comm,proximity_rep_res,proximity_dem_res,perc_nv_rep,perc_nv_dem,n_swing,n_swing_0820,segregation_off,segregation_on,segregation_res
USA.18.91_1,21181,8,4,7517.0,0.012371956897699,0.001064254356791,0.041357027463651,0.092163339,0.0,0.1350143211035929,0.2289481427872357,0.2262,0.5527,0.6643,0.3054,0.6588,0.3005,0.6712,0.3073999999999999,0.2049,0.7852,0.6704,0.3085,0,0,0.6664556160567303,0.6683542498573873,0.15133896125677865
USA.18.92_1,21183,6,3,23861.0,0.011944176689996,0.034449520137463,0.045242537313433,0.093568429,0.23800000000000002,0.1850217454680716,0.3167402742411283,0.3665,0.7703,0.7117,0.2488,0.688,0.2453,0.7328,0.2439,0.5342,0.4148,0.7352,0.2419,0,0,0.7323034063568443,0.7285367940673131,0.5425169117235982
USA.18.93_1,21185,1,1,67586.0,0.037626135590211,0.040200633267245,0.037954711468225,0.3881537,0.7484000000000001,0.2379179918629604,0.5677354750716848,0.5002,3.8949,0.6228,0.3245,0.6102,0.2889,0.6484,0.3202,0.5576,0.3252,0.6316,0.3346,0,0,0.6280866151703178,0.641970907016543,0.605691284172863
USA.18.94_1,21187,8,4,11160.0,0.004749103942652,0.004032258064516,0.04,0.17926031,0.0,0.213894217979888,0.2861731643528323,0.4508,0.8255,0.6978,0.2628999999999999,0.6809999999999999,0.2638,0.7246,0.252,0.3486,0.6139,0.7291,0.2477,0,0,0.7145751551221984,0.7103536794067313,0.3274445127746408
USA.18.95_1,21189,9,4,4094.0,0.020273571079629,0.0,0.156878519710378,0.063810788,0.0,0.1286635482280619,0.1830857797334125,0.2406,0.4262,0.8210999999999999,0.1565,0.8068,0.1644,0.8352,0.1535,0.6687,0.3292,0.8429,0.1462,0,0,0.8600101304292769,0.87093553907587,0.6655671716889361
USA.18.96_1,21191,1,1,14625.0,0.006700854700855,0.014564102564103,0.050144927536232,0.10569269,0.0,0.1583611350311723,0.3005614919485365,0.2629,0.7263,0.7131,0.2482,0.6906,0.2459,0.7316999999999999,0.2435999999999999,0.4264,0.5158,0.7351,0.2402,0,0,0.733569710016462,0.7299629207073588,0.42578408900318665
USA.18.97_1,21193,7,3,28421.0,0.01094261285669,0.011153724358749,0.106188340807175,0.1201481,0.2742,0.1997550097157125,0.3285321536961193,0.5769,1.2255,0.7696999999999999,0.202,0.7519,0.1987,0.7658,0.2155999999999999,0.2701,0.7125,0.7739,0.2079,0,0,0.7986577181208052,0.8073302909298345,0.2284340582545983
USA.18.98_1,21195,7,3,58914.0,0.008249312557287,0.009726041348406,0.084593756059725,0.11935814,0.1522,0.2642647162251668,0.4337051405401331,0.8872,1.7658,0.7621,0.2075,0.7257,0.21,0.7759999999999999,0.2055,0.3055,0.6543,0.7812,0.2013,0,0,0.7903634291503102,0.780590416428979,0.28076256499133445
USA.18.99_1,21197,6,3,13050.0,0.002681992337165,0.010191570881226,0.075058639562158,0.10517412,0.0,0.1795574811157437,0.2949539335245958,0.3196,0.742,0.6765,0.2872,0.6704,0.2752,0.6835,0.2927,0.3174,0.6463,0.6867,0.2888,0,0,0.6857034316829176,0.6946662863662293,0.2918879633253201
USA.18.100_1,21199,5,2,64717.0,0.009178422980052,0.026144598791662,0.056239766498185,0.14643142,0.47409999999999997,0.2637607216882702,0.4700552692814415,0.7063,1.9745,0.788,0.1787,0.7429,0.1804,0.8035,0.1777999999999999,0.7215,0.226,0.8065,0.1737,0,0,0.8249968342408509,0.8139617798060468,0.7527813495834965
